Question,Option A,Option B,Option C,Option D,Correct Answer,,,,,,
What is the purpose of the Node.js Event Loop?,To handle synchronous operations,To manage asynchronous operations efficiently,To create new threads,To manage memory allocation,To manage asynchronous operations efficiently,,,,,,
What is the purpose of the 'process.nextTick()' function?,To execute a callback in the next event loop iteration,To execute a callback immediately,To create a new thread,To allocate memory,To execute a callback in the next event loop iteration,,,,,,
What is the purpose of the 'setImmediate()' function?,To execute a callback after the current event loop phase,To execute a callback immediately,To create a new thread,To allocate memory,To execute a callback after the current event loop phase,,,,,,
What is the purpose of the 'setTimeout()' function?,To execute a callback after a specified delay,To execute a callback immediately,To create a new thread,To allocate memory,To execute a callback after a specified delay,,,,,,
What is the purpose of the 'setInterval()' function?,To execute a callback once after a delay,To execute a callback repeatedly at a specified interval,To create a new thread,To allocate memory,To execute a callback repeatedly at a specified interval,,,,,,
What is the purpose of the 'EventEmitter' class?,To create synchronous events,To handle asynchronous events and callbacks,To create new threads,To allocate memory,To handle asynchronous events and callbacks,,,,,,
What is the purpose of the 'stream' module?,To handle synchronous data,To handle large amounts of data efficiently,To create new threads,To allocate memory,To handle large amounts of data efficiently,,,,,,
What are the types of streams in Node.js?,Readable, Writable, Duplex, Transform, All of the above,All of the above,,,,,
What is the purpose of the 'buffer' module?,To handle text data,To handle binary data efficiently,To create new threads,To allocate memory,To handle binary data efficiently,,,,,,
What is the purpose of the 'cluster' module?,To create single-threaded applications,To create multi-threaded applications,To allocate memory,To manage event loops,To create multi-threaded applications,,,,,,
What is the purpose of the 'child_process' module?,To create new threads,To spawn child processes,To manage event loops,To allocate memory,To spawn child processes,,,,,,
What are the methods for spawning child processes?,exec(), spawn(), fork(), execFile(), All of the above,All of the above,,,,,
What is the purpose of the 'fs' module?,To handle network requests,To interact with the file system,To create new threads,To allocate memory,To interact with the file system,,,,,,
What is the purpose of the 'path' module?,To handle network requests,To work with file and directory paths,To create new threads,To allocate memory,To work with file and directory paths,,,,,,
What is the purpose of the 'http' module?,To create HTTP servers and clients,To interact with the file system,To create new threads,To allocate memory,To create HTTP servers and clients,,,,,,
What is the purpose of the 'https' module?,To create HTTP servers and clients,To create HTTPS servers and clients,To interact with the file system,To allocate memory,To create HTTPS servers and clients,,,,,,
What is the purpose of the 'net' module?,To create TCP servers and clients,To create HTTP servers and clients,To interact with the file system,To allocate memory,To create TCP servers and clients,,,,,,
