Question,Option A,Option B,Option C,Option D,Correct Answer,,,,,,,,,,,,,,,
What is a MongoDB Aggregation Pipeline?,A method to insert data,A framework for data transformation and analysis,A tool to manage indexes,A way to create backups,A framework for data transformation and analysis,,,,,,,,,,,,,,,
What is the syntax for an aggregation pipeline in MongoDB?,db.collection.aggregate([]),db.collection.aggregate({}),db.aggregate([]),db.aggregate({}),db.collection.aggregate([]),,,,,,,,,,,,,,,
What is the purpose of the `$match` stage in an aggregation pipeline?,To filter documents,To group documents,To project fields,To sort documents,To filter documents,,,,,,,,,,,,,,,
What is the purpose of the `$group` stage in an aggregation pipeline?,To filter documents,To group documents and calculate aggregates,To project fields,To sort documents,To group documents and calculate aggregates,,,,,,,,,,,,,,,
What is the purpose of the `$project` stage in an aggregation pipeline?,To filter documents,To group documents,To select and reshape fields,To sort documents,To select and reshape fields,,,,,,,,,,,,,,,
What is the purpose of the `$sort` stage in an aggregation pipeline?,To filter documents,To group documents,To project fields,To order documents,To order documents,,,,,,,,,,,,,,,
What is the purpose of the `$limit` stage in an aggregation pipeline?,To filter documents,To group documents,To limit the number of documents passed to the next stage,To sort documents,To limit the number of documents passed to the next stage,,,,,,,,,,,,,,,
What is the purpose of the `$skip` stage in an aggregation pipeline?,To filter documents,To group documents,To skip a specified number of documents,To sort documents,To skip a specified number of documents,,,,,,,,,,,,,,,
What is the purpose of the `$unwind` stage in an aggregation pipeline?,To create indexes,To flatten array fields,To sort documents,To group documents,To flatten array fields,,,,,,,,,,,,,,,
What is the purpose of the `$lookup` stage in an aggregation pipeline?,To join collections,To filter documents,To sort documents,To group documents,To join collections,,,,,,,,,,,,,,,
What is the syntax for the `$lookup` stage?,"{$lookup: {from: ""otherCollection"""," localField: ""local"""," foreignField: ""foreign"""," as: ""joined""}}","{$lookup: {collection: ""otherCollection"""," local: ""local"""," foreign: ""foreign"""," result: ""joined""}}","{$lookup: {from: ""otherCollection"""," local: ""local"""," foreign: ""foreign"""," output: ""joined""}}","{$lookup: {otherCollection: ""otherCollection"""," localField: ""local"""," foreignField: ""foreign"""," as: ""joined""}}","{$lookup: {from: ""otherCollection"""," localField: ""local"""," foreignField: ""foreign"""," as: ""joined""}}"
What is a MongoDB Index?,A data backup,A data structure that improves query performance,A method for data deletion,A way to define views,A data structure that improves query performance,,,,,,,,,,,,,,,
What are the types of indexes in MongoDB?,Single Field, Compound, Multikey, Geospatial, Text, Hashed, All of the above,All of the above,,,,,,,,,,,,
